1,Row Color Variety   ,Rows with no repeated colors                ,6
3,Row Shade Variety   ,Rows with no repeated values                ,5
2,Column Color Variety,Columns with no repeated colors             ,5
8,Shade Variety       ,Sets of one of each value anywhere          ,5
4,Column Shade Variety,Columns with no repeated values             ,4
10,Color Variety       ,Sets of one of each color anywhere          ,4
5,Light Shades        ,Sets of 1 and 2 anywhere                    ,2
6,Medium Shades       ,Sets of 3 and 4 anywhere                    ,2
7,Deep Shades         ,Sets of 5 and 6 anywhere                    ,2
9,Color Diagonals    ,Count of diagonally adjacent same-color dice,1
