1 ,Row Color Variety   ,Rows with no repeated colors                ,6
2 ,Row Shade Variety   ,Rows with no repeated values                ,5
3 ,Column Color Variety,Columns with no repeated colors             ,5
4 ,Shade Variety       ,Sets of one of each value anywhere          ,5
5 ,Column Shade Variety,Columns with no repeated values             ,4
6 ,Color Variety       ,Sets of one of each color anywhere          ,4
7 ,Light Shades        ,Sets of 1 and 2 anywhere                    ,2
8 ,Medium Shades       ,Sets of 3 and 4 anywhere                    ,2
9 ,Deep Shades         ,Sets of 5 and 6 anywhere                    ,2
10,Color Diagonals     ,Count of diagonally adjacent same-color dice,1
